panel,arm,seed,variant,channel,primary
ettm2,F0_LONG,0,selected,HUFL,0.21456387598067633
ettm2,F0_LONG,0,selected,HULL,0.23971189805282278
ettm2,F0_LONG,0,selected,MUFL,0.13082321700634567
ettm2,F0_LONG,0,selected,MULL,0.2710874741934042
ettm2,F0_LONG,0,selected,LUFL,0.10079943686806679
ettm2,F0_LONG,0,selected,LULL,0.03590447025467088
ettm2,F0_LONG,0,selected,OT,0.18497255256694575
ettm2,F0_SHORT,0,selected,HUFL,0.2210797064897385
ettm2,F0_SHORT,0,selected,HULL,0.2467012455555157
ettm2,F0_SHORT,0,selected,MUFL,0.13548378892504967
ettm2,F0_SHORT,0,selected,MULL,0.2823938367331157
ettm2,F0_SHORT,0,selected,LUFL,0.1053849267752603
ettm2,F0_SHORT,0,selected,LULL,0.03910971123440499
ettm2,F0_SHORT,0,selected,OT,0.19177698991485648
ettm2,SEASONAL_NAIVE,0,selected,HUFL,0.38097874403156756
ettm2,SEASONAL_NAIVE,0,selected,HULL,0.4323592064577924
ettm2,SEASONAL_NAIVE,0,selected,MUFL,0.23486992720315356
ettm2,SEASONAL_NAIVE,0,selected,MULL,0.5057728925198359
ettm2,SEASONAL_NAIVE,0,selected,LUFL,0.18999405054744586
ettm2,SEASONAL_NAIVE,0,selected,LULL,0.06598016250280508
ettm2,SEASONAL_NAIVE,0,selected,OT,0.29467973024643335
ettm2,HEAD,92601,selected,HUFL,0.2106922592478045
ettm2,HEAD,92601,selected,HULL,0.23948764467432118
ettm2,HEAD,92601,selected,MUFL,0.12721333674835408
ettm2,HEAD,92601,selected,MULL,0.26620853572181546
ettm2,HEAD,92601,selected,LUFL,0.1004033202297376
ettm2,HEAD,92601,selected,LULL,0.03561146432881577
ettm2,HEAD,92601,selected,OT,0.17343849952394255
ettm2,HEAD,92601,fixed_final,HUFL,0.2106922592478045
ettm2,HEAD,92601,fixed_final,HULL,0.23948764467432118
ettm2,HEAD,92601,fixed_final,MUFL,0.12721333674835408
