holiday_row_id,date,type,locale,locale_name,description,transferred,concept,removed_prefixes,normalization_flags,case_insensitive_concept,case_insensitive_removed_prefixes,concept_family,excluded_before_application,pre_application_exclusion_reason
24,2012-11-07,Holiday,Regional,Santa Elena,Provincializacion Santa Elena,False,Provincializacion Santa Elena,,,Provincializacion Santa Elena,,Provincializacion,False,
28,2012-12-05,Additional,Local,Quito,Fundacion de Quito-1,False,Fundacion de Quito,,numeric_suffix_removed,Fundacion de Quito,,Fundacion,False,
31,2012-12-21,Additional,National,Ecuador,Navidad-4,False,Navidad,,numeric_suffix_removed,Navidad,,,False,
33,2012-12-22,Additional,National,Ecuador,Navidad-3,False,Navidad,,numeric_suffix_removed,Navidad,,,False,
34,2012-12-23,Additional,National,Ecuador,Navidad-2,False,Navidad,,numeric_suffix_removed,Navidad,,,False,
36,2012-12-24,Additional,National,Ecuador,Navidad-1,False,Navidad,,numeric_suffix_removed,Navidad,,,False,
38,2012-12-26,Additional,National,Ecuador,Navidad+1,False,Navidad,,numeric_suffix_removed,Navidad,,,False,
40,2012-12-31,Additional,National,Ecuador,Primer dia del ano-1,False,Primer dia del ano,,numeric_suffix_removed,Primer dia del ano,,,False,
42,2013-01-05,Work Day,National,Ecuador,Recupero puente Navidad,False,puente Navidad,Recupero,case_mismatched_prefix:puente|case_insensitive_normalization_differs,Navidad,Recupero|puente,,True,work_day
43,2013-01-12,Work Day,National,Ecuador,Recupero puente primer dia del ano,False,puente primer dia del ano,Recupero,case_mismatched_prefix:puente|case_insensitive_normalization_differs,primer dia del ano,Recupero|puente,,True,work_day
53,2013-05-11,Additional,National,Ecuador,Dia de la Madre-1,False,Dia de la Madre,,numeric_suffix_removed,Dia de la Madre,,,False,
64,2013-07-24,Additional,Local,Guayaquil,Fundacion de Guayaquil-1,False,Fundacion de Guayaquil,,numeric_suffix_removed,Fundacion de Guayaquil,,Fundacion,False,
77,2013-11-07,Holiday,Regional,Santa Elena,Provincializacion Santa Elena,False,Provincializacion Santa Elena,,,Provincializacion Santa Elena,,Provincializacion,False,
81,2013-12-05,Additional,Local,Quito,Fundacion de Quito-1,False,Fundacion de Quito,,numeric_suffix_removed,Fundacion de Quito,,Fundacion,False,
84,2013-12-21,Additional,National,Ecuador,Navidad-4,False,Navidad,,numeric_suffix_removed,Navidad,,,False,
85,2013-12-22,Additional,National,Ecuador,Navidad-3,False,Navidad,,numeric_suffix_removed,Navidad,,,False,
87,2013-12-23,Additional,National,Ecuador,Navidad-2,False,Navidad,,numeric_suffix_removed,Navidad,,,False,
88,2013-12-24,Additional,National,Ecuador,Navidad-1,False,Navidad,,numeric_suffix_removed,Navidad,,,False,
90,2013-12-26,Additional,National,Ecuador,Navidad+1,False,Navidad,,numeric_suffix_removed,Navidad,,,False,
91,2013-12-31,Additional,National,Ecuador,Primer dia del ano-1,False,Primer dia del ano,,numeric_suffix_removed,Primer dia del ano,,,False,
102,2014-05-10,Additional,National,Ecuador,Dia de la Madre-1,False,Dia de la Madre,,numeric_suffix_removed,Dia de la Madre,,,False,
107,2014-06-15,Event,National,Ecuador,Mundial de futbol Brasil: Ecuador-Suiza,False,Mundial de futbol Brasil,,colon_detail_removed,Mundial de futbol Brasil,,,False,
108,2014-06-20,Event,National,Ecuador,Mundial de futbol Brasil: Ecuador-Honduras,False,Mundial de futbol Brasil,,colon_detail_removed,Mundial de futbol Brasil,,,False,
113,2014-06-25,Event,National,Ecuador,Mundial de futbol Brasil: Ecuador-Francia,False,Mundial de futbol Brasil,,colon_detail_removed,Mundial de futbol Brasil,,,False,
114,2014-06-28,Event,National,Ecuador,Mundial de futbol Brasil: Octavos de Final,False,Mundial de futbol Brasil,,colon_detail_removed,Mundial de futbol Brasil,,,False,
115,2014-06-29,Event,National,Ecuador,Mundial de futbol Brasil: Octavos de Final,False,Mundial de futbol Brasil,,colon_detail_removed,Mundial de futbol Brasil,,,False,
116,2014-06-30,Event,National,Ecuador,Mundial de futbol Brasil: Octavos de Final,False,Mundial de futbol Brasil,,colon_detail_removed,Mundial de futbol Brasil,,,False,
117,2014-07-01,Event,National,Ecuador,Mundial de futbol Brasil: Octavos de Final,False,Mundial de futbol Brasil,,colon_detail_removed,Mundial de futbol Brasil,,,False,
120,2014-07-04,Event,National,Ecuador,Mundial de futbol Brasil: Cuartos de Final,False,Mundial de futbol Brasil,,colon_detail_removed,Mundial de futbol Brasil,,,False,
121,2014-07-05,Event,National,Ecuador,Mundial de futbol Brasil: Cuartos de Final,False,Mundial de futbol Brasil,,colon_detail_removed,Mundial de futbol Brasil,,,False,
122,2014-07-08,Event,National,Ecuador,Mundial de futbol Brasil: Semifinales,False,Mundial de futbol Brasil,,colon_detail_removed,Mundial de futbol Brasil,,,False,
123,2014-07-09,Event,National,Ecuador,Mundial de futbol Brasil: Semifinales,False,Mundial de futbol Brasil,,colon_detail_removed,Mundial de futbol Brasil,,,False,
124,2014-07-12,Event,National,Ecuador,Mundial de futbol Brasil: Tercer y cuarto lugar,False,Mundial de futbol Brasil,,colon_detail_removed,Mundial de futbol Brasil,,,False,
125,2014-07-13,Event,National,Ecuador,Mundial de futbol Brasil: Final,False,Mundial de futbol Brasil,,colon_detail_removed,Mundial de futbol Brasil,,,False,
127,2014-07-24,Additional,Local,Guayaquil,Fundacion de Guayaquil-1,False,Fundacion de Guayaquil,,numeric_suffix_removed,Fundacion de Guayaquil,,Fundacion,False,
140,2014-11-07,Holiday,Regional,Santa Elena,Provincializacion Santa Elena,False,Provincializacion Santa Elena,,,Provincializacion Santa Elena,,Provincializacion,False,
146,2014-12-05,Additional,Local,Quito,Fundacion de Quito-1,False,Fundacion de Quito,,numeric_suffix_removed,Fundacion de Quito,,Fundacion,False,
150,2014-12-21,Additional,National,Ecuador,Navidad-4,False,Navidad,,numeric_suffix_removed,Navidad,,,False,
152,2014-12-22,Additional,National,Ecuador,Navidad-3,False,Navidad,,numeric_suffix_removed,Navidad,,,False,
153,2014-12-23,Additional,National,Ecuador,Navidad-2,False,Navidad,,numeric_suffix_removed,Navidad,,,False,
154,2014-12-24,Additional,National,Ecuador,Navidad-1,False,Navidad,,numeric_suffix_removed,Navidad,,,False,
157,2014-12-26,Additional,National,Ecuador,Navidad+1,False,Navidad,,numeric_suffix_removed,Navidad,,,False,
158,2014-12-31,Additional,National,Ecuador,Primer dia del ano-1,False,Primer dia del ano,,numeric_suffix_removed,Primer dia del ano,,,False,
171,2015-05-09,Additional,National,Ecuador,Dia de la Madre-1,False,Dia de la Madre,,numeric_suffix_removed,Dia de la Madre,,,False,
182,2015-07-24,Holiday,Local,Guayaquil,Fundacion de Guayaquil-1,False,Fundacion de Guayaquil,,numeric_suffix_removed,Fundacion de Guayaquil,,Fundacion,False,
194,2015-11-07,Holiday,Regional,Santa Elena,Provincializacion Santa Elena,False,Provincializacion Santa Elena,,,Provincializacion Santa Elena,,Provincializacion,False,
200,2015-12-05,Additional,Local,Quito,Fundacion de Quito-1,False,Fundacion de Quito,,numeric_suffix_removed,Fundacion de Quito,,Fundacion,False,
203,2015-12-21,Additional,National,Ecuador,Navidad-4,False,Navidad,,numeric_suffix_removed,Navidad,,,False,
204,2015-12-22,Additional,National,Ecuador,Navidad-3,False,Navidad,,numeric_suffix_removed,Navidad,,,False,
206,2015-12-23,Additional,National,Ecuador,Navidad-2,False,Navidad,,numeric_suffix_removed,Navidad,,,False,
