concept,eval_date,affected_store_count,event_store_units,types,locales,locale_names,states,cities,concept_family,year
Carnaval,2016-02-08,54,54,Holiday,National,Ecuador,Azuay|Bolivar|Chimborazo|Cotopaxi|El Oro|Esmeraldas|Guayas|Imbabura|Loja|Los Rios|Manabi|Pastaza|Pichincha|Santa Elena|Santo Domingo de los Tsachilas|Tungurahua,Ambato|Babahoyo|Cayambe|Cuenca|Daule|El Carmen|Esmeraldas|Guaranda|Guayaquil|Ibarra|Latacunga|Libertad|Loja|Machala|Manta|Playas|Puyo|Quevedo|Quito|Riobamba|Salinas|Santo Domingo,,2016
Fundacion de Manta,2016-03-02,2,2,Holiday,Local,Manta,Manabi,Manta,Fundacion,2016
Viernes Santo,2016-03-25,54,54,Holiday,National,Ecuador,Azuay|Bolivar|Chimborazo|Cotopaxi|El Oro|Esmeraldas|Guayas|Imbabura|Loja|Los Rios|Manabi|Pastaza|Pichincha|Santa Elena|Santo Domingo de los Tsachilas|Tungurahua,Ambato|Babahoyo|Cayambe|Cuenca|Daule|El Carmen|Esmeraldas|Guaranda|Guayaquil|Ibarra|Latacunga|Libertad|Loja|Machala|Manta|Playas|Puyo|Quevedo|Quito|Riobamba|Salinas|Santo Domingo,,2016
Provincializacion de Cotopaxi,2016-04-01,2,2,Holiday,Regional,Cotopaxi,Cotopaxi,Latacunga,Provincializacion,2016
Fundacion de Cuenca,2016-04-12,3,3,Holiday,Local,Cuenca,Azuay,Cuenca,Fundacion,2016
Batalla de Pichincha,2016-05-27,54,54,Transfer,National,Ecuador,Azuay|Bolivar|Chimborazo|Cotopaxi|El Oro|Esmeraldas|Guayas|Imbabura|Loja|Los Rios|Manabi|Pastaza|Pichincha|Santa Elena|Santo Domingo de los Tsachilas|Tungurahua,Ambato|Babahoyo|Cayambe|Cuenca|Daule|El Carmen|Esmeraldas|Guaranda|Guayaquil|Ibarra|Latacunga|Libertad|Loja|Machala|Manta|Playas|Puyo|Quevedo|Quito|Riobamba|Salinas|Santo Domingo,,2016
Cantonizacion de Guaranda,2016-06-23,1,1,Holiday,Local,Guaranda,Bolivar,Guaranda,Cantonizacion,2016
Cantonizacion de Latacunga,2016-06-25,2,2,Holiday,Local,Latacunga,Cotopaxi,Latacunga,Cantonizacion,2016
Fundacion de Machala,2016-06-25,2,2,Holiday,Local,Machala,El Oro,Machala,Fundacion,2016
Provincializacion de Imbabura,2016-06-25,1,1,Holiday,Regional,Imbabura,Imbabura,Ibarra,Provincializacion,2016
Cantonizacion de El Carmen,2016-07-03,1,1,Holiday,Local,El Carmen,Manabi,El Carmen,Cantonizacion,2016
Fundacion de Santo Domingo,2016-07-03,3,3,Holiday,Local,Santo Domingo,Santo Domingo de los Tsachilas,Santo Domingo,Fundacion,2016
Cantonizacion de Cayambe,2016-07-23,1,1,Holiday,Local,Cayambe,Pichincha,Cayambe,Cantonizacion,2016
Fundacion de Guayaquil,2016-07-24,8,8,Additional,Local,Guayaquil,Guayas,Guayaquil,Fundacion,2016
Fundacion de Esmeraldas,2016-08-05,1,1,Holiday,Local,Esmeraldas,Esmeraldas,Esmeraldas,Fundacion,2016
Primer Grito de Independencia,2016-08-12,53,53,Transfer,National,Ecuador,Azuay|Bolivar|Cotopaxi|El Oro|Esmeraldas|Guayas|Imbabura|Loja|Los Rios|Manabi|Pastaza|Pichincha|Santa Elena|Santo Domingo de los Tsachilas|Tungurahua,Ambato|Babahoyo|Cayambe|Cuenca|Daule|El Carmen|Esmeraldas|Guaranda|Guayaquil|Ibarra|Latacunga|Libertad|Loja|Machala|Manta|Playas|Puyo|Quevedo|Quito|Salinas|Santo Domingo,,2016
Fundacion de Ambato,2016-08-24,2,2,Holiday,Local,Ambato,Tungurahua,Ambato,Fundacion,2016
Fundacion de Ibarra,2016-09-28,1,1,Holiday,Local,Ibarra,Imbabura,Ibarra,Fundacion,2016
